date,cpu_equity,cpu_pnl,cpu_return_pct,cpu_drawdown_usd,cpu_drawdown_pct,cpu_day_fall_usd,cpu_day_fall_pct,gpu_equity,gpu_pnl,gpu_return_pct,gpu_drawdown_usd,gpu_drawdown_pct,gpu_day_fall_usd,gpu_day_fall_pct,cpu_gpu_diff_bps,sale_time_stock,new_purchase_time_stock
2026-01-21,9999.00009999,-0.999900009999692,-0.009999000099991662,0.999900009999692,0.00999900009999692,0.999900009999692,0.00999900009999692,9999.00009999,-0.999900009999692,-0.009999000099991662,0.999900009999692,0.00999900009999692,0.999900009999692,0.00999900009999692,0.0,no change,19:59 | SOXS
2026-01-22,10370.793030119796,371.7929301297954,3.7183010942280825,0.0,0.0,0.0,0.0,10370.793030119796,371.7929301297954,3.7183010942280825,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-01-23,10629.025776569777,258.2327464499813,2.489999999999992,0.0,0.0,0.0,0.0,10629.025776569777,258.2327464499813,2.489999999999992,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-01-26,10681.91682102339,52.89104445361227,0.4976095228802935,0.0,0.0,0.0,0.0,10681.91682102339,52.89104445361227,0.4976095228802935,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-01-27,9498.090796635215,-1183.8260243881741,-11.082524271844651,1183.8260243881741,11.082524271844655,1183.8260243881741,11.082524271844655,9498.090796635215,-1183.8260243881741,-11.082524271844651,1183.8260243881741,11.082524271844655,1183.8260243881741,11.082524271844655,0.0,no change,no change
2026-01-28,9022.589936204222,-475.50086043099327,-5.006278320685709,1659.3268848191674,15.533980582524272,475.50086043099327,5.006278320685708,9022.589936204222,-475.50086043099327,-5.006278320685709,1659.3268848191674,15.533980582524272,475.50086043099327,5.006278320685708,0.0,no change,no change
2026-01-29,9385.567692258415,362.9777560541934,4.022988505747138,1296.349128764974,12.135922330097083,0.0,0.0,9385.567692258415,362.9777560541934,4.022988505747138,1296.349128764974,12.135922330097083,0.0,0.0,0.0,no change,no change
2026-01-30,10215.231134667998,829.6634424095828,8.83977900552486,466.6856863553912,4.368932038834956,0.0,0.0,10215.231134667998,829.6634424095828,8.83977900552486,466.6856863553912,4.368932038834956,0.0,0.0,0.0,no change,no change
2026-02-02,9385.567692258415,-829.6634424095828,-8.121827411167503,1296.349128764974,12.135922330097083,829.6634424095828,8.121827411167505,9385.567692258415,-829.6634424095828,-8.121827411167503,1296.349128764974,12.135922330097083,829.6634424095828,8.121827411167505,0.0,no change,no change
2026-02-03,10622.284761100202,1236.7170688417864,13.176795580110511,59.632059923187626,0.5582524271844548,0.0,0.0,10622.284761100202,1236.7170688417864,13.176795580110511,59.632059923187626,0.5582524271844548,0.0,0.0,0.0,no change,no change
2026-02-04,11042.685819037972,420.40105793777,3.957727244117182,0.0,0.0,0.0,0.0,11042.685819037972,420.40105793777,3.957727244117182,0.0,0.0,0.0,0.0,0.0,no change,19:59 | SOXL
2026-02-05,10132.413180521513,-910.2726385164588,-8.24321775909912,910.2726385164588,8.243217759099124,910.2726385164588,8.243217759099124,10132.413180521513,-910.2726385164588,-8.24321775909912,910.2726385164588,8.243217759099124,910.2726385164588,8.243217759099124,0.0,no change,no change
2026-02-06,11183.34528902726,1050.9321085057472,10.37198236769552,0.0,0.0,0.0,0.0,11183.34528902726,1050.9321085057472,10.37198236769552,0.0,0.0,0.0,0.0,0.0,08:00 | SOXL,19:59 | SOXS
2026-02-09,10892.369097225883,-290.97619180137735,-2.6018707665842467,290.97619180137735,2.6018707665842515,290.97619180137735,2.6018707665842515,10892.369097225883,-290.97619180137735,-2.6018707665842467,290.97619180137735,2.6018707665842515,290.97619180137735,2.6018707665842515,0.0,no change,no change
2026-02-10,10948.881002245158,56.51190501927522,0.5188210619273548,234.46428678210214,2.096548758198059,0.0,0.0,10948.881002245158,56.51190501927522,0.5188210619273548,234.46428678210214,2.096548758198059,0.0,0.0,0.0,no change,no change
2026-02-11,10149.898855749232,-798.9821464959259,-7.297386338677791,1033.446433278028,9.240941834211384,798.9821464959259,7.297386338677788,10149.898855749232,-798.9821464959259,-7.297386338677791,1033.446433278028,9.240941834211384,798.9821464959259,7.297386338677788,0.0,no change,no change
